timestamp,altitude
1672027862558,0
1672027862656,0
1672027862756,0
1672027862858,0
1672027862958,0
1672027863056,0
1672027863156,0
1672027863257,0
1672027863357,0
1672027863457,0
1672027863557,0
1672027863657,0
1672027863756,0
1672027863856,0
1672027863956,0
1672027864056,0
1672027864156,0
1672027864256,0
1672027864357,0
1672027864457,0
1672027864556,0
1672027864656,0
1672027864756,0
1672027864857,0
1672027864957,0
1672027865056,0
1672027865156,0
1672027865257,0
1672027865356,0
1672027865456,0
1672027865557,0
1672027865656,0
1672027865757,0
1672027865856,0
1672027865957,0
1672027866056,0
1672027866156,0
1672027866257,0
1672027866357,0
1672027866456,0
1672027866556,0
1672027866656,0
1672027866756,0.01
1672027866857,0.01
1672027866956,0.01
1672027867056,0
1672027867157,-0.01
1672027867256,-0.02
1672027867356,-0.03
1672027867456,-0.03
1672027867557,-0.03
1672027867657,-0.03
1672027867756,-0.03
1672027867857,-0.03
1672027867956,-0.03
1672027868057,-0.03
1672027868157,-0.03
1672027868257,-0.03
1672027868356,-0.03
1672027868457,-0.02
1672027868556,-0.01
1672027868657,0
1672027868756,0
1672027868856,0
1672027868956,0
1672027869056,0
1672027869157,0
1672027869256,0.01
1672027869356,0.02
1672027869456,0.02
1672027869557,0.03
1672027869657,0.04
1672027869758,0.04
1672027869861,0.04
1672027869956,0.03
1672027870056,0.03
1672027870156,0.03
1672027870256,0.03
1672027870356,0.02
1672027870456,0.01
1672027870556,0
1672027870656,0
1672027870756,-0.01
1672027870857,-0.01
1672027870956,-0.02
1672027871057,-0.01
1672027871157,-0.01
1672027871256,0
1672027871357,0
1672027871457,0
1672027871558,0
1672027871656,0
1672027871757,0
1672027871856,-0.01
1672027871957,-0.01
1672027872056,-0.01
1672027872156,-0.01
1672027872257,-0.01
1672027872358,-0.02
1672027872456,-0.02
1672027872557,-0.02
1672027872656,-0.02
1672027872756,-0.02
1672027872856,-0.02
1672027872956,-0.02
1672027873056,-0.02
1672027873156,-0.02
1672027873256,-0.02
1672027873356,-0.02
1672027873457,-0.02
1672027873556,-0.02
1672027873658,-0.02
1672027873756,-0.02
1672027873857,-0.01
1672027873957,-0.01
1672027874056,-0.01
1672027874156,0
1672027874256,0
1672027874356,0
1672027874457,0
1672027874556,0
1672027874657,0
1672027874757,0
1672027874856,0
1672027874957,0
1672027875056,0
1672027875156,0
1672027875258,0
1672027875356,0.01
1672027875458,0.01
1672027875558,0.02
1672027875658,0.03
1672027875757,0.03
1672027875857,0.03
1672027875957,0.04
1672027876058,0.04
1672027876156,0.04
1672027876256,0.04
1672027876357,0.05
1672027876457,0.05
1672027876557,0.05
1672027876657,0.05
1672027876757,0.05
1672027876856,0.05
1672027876956,0.05
1672027877056,0.04
1672027877156,0.04
1672027877256,0.04
1672027877356,0.03
1672027877456,0.03
1672027877556,0.02
1672027877656,0.01
1672027877756,0
1672027877856,0
1672027877956,-0.01
1672027878056,-0.02
1672027878156,-0.02
1672027878258,-0.03
1672027878356,-0.04
1672027878457,-0.04
1672027878556,-0.04
1672027878656,-0.04
1672027878756,-0.04
1672027878857,-0.04
1672027878956,-0.03
1672027879056,-0.03
1672027879156,-0.02
1672027879256,-0.02
1672027879356,-0.02
1672027879456,-0.01
1672027879556,-0.01
1672027879656,-0.01
1672027879756,-0.01
1672027879856,-0.01
1672027879958,-0.01
1672027880056,-0.02
1672027880156,-0.02
1672027880256,-0.02
1672027880356,-0.02
1672027880456,-0.02
1672027880556,-0.01
1672027880658,-0.01
1672027880757,0
1672027880856,0
1672027880956,0.01
1672027881056,0.02
1672027881156,0.02
1672027881257,0.03
1672027881356,0.05
1672027881456,0.06
1672027881556,0.08
1672027881656,0.09
1672027881756,0.11
1672027881856,0.11
1672027881956,0.11
1672027882056,0.11
1672027882156,0.1
1672027882257,0.09
1672027882359,0.08
1672027882457,0.07
1672027882556,0.06
1672027882657,0.03
1672027882757,0.02
1672027882857,0
1672027882957,-0.02
1672027883057,-0.03
1672027883158,-0.04
1672027883257,-0.05
1672027883357,-0.06
1672027883457,-0.07
1672027883557,-0.08
1672027883657,-0.08
1672027883757,-0.09
1672027883857,-0.09
1672027883957,-0.09
1672027884057,-0.08
1672027884157,-0.08
1672027884257,-0.07
1672027884357,-0.06
1672027884457,-0.04
1672027884557,-0.03
1672027884657,-0.02
1672027884757,-0.01
1672027884857,0
1672027884957,0
1672027885057,0.02
1672027885158,0.02
1672027885257,0.02
1672027885357,0.02
1672027885457,0.02
1672027885557,0.02
1672027885657,0.02
1672027885758,0.02
1672027885858,0.01
1672027885957,0.01
1672027886057,0.01
1672027886158,0.01
1672027886257,0.01
1672027886358,0.01
1672027886457,0
1672027886557,0
1672027886657,0
1672027886757,0
1672027886858,0
1672027886957,0
1672027887057,0
1672027887157,0
1672027887257,0
1672027887357,0
1672027887457,0
1672027887557,0
1672027887657,0
1672027887757,0
1672027887857,0
1672027887958,0
1672027888057,0
1672027888157,0
1672027888257,0
1672027888357,0
1672027888457,0
timestamp,altitude,voltage,amperage,mAhdrawn,rssi
1672027912441,0,11.2,0,0,0
1672027912542,0,11.2,0,0,0
1672027912641,0,11.2,0,0,0
1672027912741,0,11.2,0,0,0
1672027912841,0,11.2,0,0,0
1672027912941,0,11.2,0,0,0
1672027913041,0,11.2,0,0,0
1672027913142,0,11.2,0,0,0
1672027913241,0,11.2,0,0,0
1672027913341,0,11.2,0,0,0
1672027913442,0,11.2,0,0,0
1672027913541,0,11.2,0,0,0
1672027913641,0,11.2,0,0,0
1672027913741,0,11.2,0,0,0
1672027913841,0,11.2,0,0,0
1672027913941,0,11.2,0,0,0
1672027914042,0,11.2,0,0,0
1672027914141,0,11.2,0,0,0
